bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,2264,2266,983,https://sourceforge.net/p/jfreechart/bugs/983
2,2240,2242,959,https://sourceforge.net/p/jfreechart/bugs/959
3,2225,2227,UNKNOWN,UNKNOWN
4,2182,2183,UNKNOWN,UNKNOWN
5,1695,1696,862,https://sourceforge.net/p/jfreechart/bugs/862
6,1164,1166,UNKNOWN,UNKNOWN
7,1086,1087,UNKNOWN,UNKNOWN
8,1084,1085,UNKNOWN,UNKNOWN
9,1082,1083,818,https://sourceforge.net/p/jfreechart/bugs/818
10,1064,1065,UNKNOWN,UNKNOWN
11,1024,1025,868,https://sourceforge.net/p/jfreechart/bugs/868
12,846,852,213,https://sourceforge.net/p/jfreechart/patches/213
13,817,822,UNKNOWN,UNKNOWN
14,809,811,UNKNOWN,UNKNOWN
15,747,749,UNKNOWN,UNKNOWN
16,741,743,834,https://sourceforge.net/p/jfreechart/bugs/834
17,621,622,803,https://sourceforge.net/p/jfreechart/bugs/803
18,620,621,UNKNOWN,UNKNOWN
19,430,434,UNKNOWN,UNKNOWN
20,281,283,UNKNOWN,UNKNOWN
21,227,231,UNKNOWN,UNKNOWN
22,225,227,UNKNOWN,UNKNOWN
23,209,210,UNKNOWN,UNKNOWN
24,188,190,UNKNOWN,UNKNOWN
25,162,164,UNKNOWN,UNKNOWN
26,102,103,UNKNOWN,UNKNOWN
