bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url,deprecated.version,deprecated.reason
9,ec0db741b7e53d6fbe3887f8720f76a625d2277f,fdac1475918e93444b08a024d096b4ec39d6733d,COMPRESS-160,https://issues.apache.org/jira/browse/COMPRESS-160,4.0.0,JVM17-Pack200
10,8cece7223349341d5ab44234d1f62897cb849511,347660646cfad588481c13058842d49fa3779f84,COMPRESS-164,https://issues.apache.org/jira/browse/COMPRESS-164,4.0.0,JVM17-Pack200
11,00cc49e76b4cb5837f91bdcae2b3dff6a2809f2a,a933173f486614073b68b6c0a6ef09a9c72c94fc,COMPRESS-171,https://issues.apache.org/jira/browse/COMPRESS-171,4.0.0,JVM17-Pack200
12,b23b5c8533846374a22b417f7d66c7cb8ceb8962,bc84d2083e4b1da77547bb4e810a06553e8f0bed,COMPRESS-178,https://issues.apache.org/jira/browse/COMPRESS-178,4.0.0,JVM17-Pack200
13,576bd034787ca2f7367127432e4b53737d6e690f,c75c10faae27781aeb51713f42153cad1fd242a4,COMPRESS-176,https://issues.apache.org/jira/browse/COMPRESS-176,4.0.0,JVM17-Pack200
14,d39ba76c50f65698213787901ec8dffbda77e43a,40f2e6380094ebfdc73e4adaf4059b80e1327aad,COMPRESS-181,https://issues.apache.org/jira/browse/COMPRESS-181,4.0.0,JVM17-Pack200
15,306b3d6b551b2fc6a3c9729117d47f7d7dea9e89,4becc32881aa983d69359b475892a4f2bc6e5b89,COMPRESS-187,https://issues.apache.org/jira/browse/COMPRESS-187,4.0.0,JVM17-Pack200
16,811fb4e1f7cb0b87d9af62cc892ac06a413eb560,9bdacbfb9631d3a3710a64f35482c643b78a2e79,COMPRESS-191,https://issues.apache.org/jira/browse/COMPRESS-191,4.0.0,JVM17-Pack200
17,db6dda34281d95d495ff4c935b65cf84310bf6be,ab456436d20f386641e605c17de24cc8cd3c1770,COMPRESS-197,https://issues.apache.org/jira/browse/COMPRESS-197,4.0.0,JVM17-Pack200
18,716666a267169689e3b4559458c1f0d53a96ae0a,09b8f6d78e18b927491fc299973146fa74fd977f,COMPRESS-203,https://issues.apache.org/jira/browse/COMPRESS-203,4.0.0,JVM17-Pack200
19,ed534048b12afcffd45a53f7b0945f49d929a29a,e860d2f3eb16d84e146a8a700d9dbd3af01df4ba,COMPRESS-228,https://issues.apache.org/jira/browse/COMPRESS-228,4.0.0,JVM17-Pack200
20,a671a703fe86b69adb8c61495a915065c186362d,040e42d0f0bebc15ca80cb80fb6db53804b2e082,COMPRESS-236,https://issues.apache.org/jira/browse/COMPRESS-236,4.0.0,JVM17-Pack200
21,afce414fb9351fba7e68dc5e77e2e144c3c59722,5c2d32b322fa797cf428b35c4c5998173d6403d5,COMPRESS-252,https://issues.apache.org/jira/browse/COMPRESS-252,4.0.0,JVM17-Pack200
22,ad634c0c24e883ec4ba509122df4679c2245e37b,71e4eeadcfc5eb390eca1142fc1f6ee5b1b4d5c1,COMPRESS-253,https://issues.apache.org/jira/browse/COMPRESS-253,4.0.0,JVM17-Pack200
23,71e4eeadcfc5eb390eca1142fc1f6ee5b1b4d5c1,cbb5a1ad9b0b80f717ee71dc0fc765afdc1601c0,COMPRESS-256,https://issues.apache.org/jira/browse/COMPRESS-256,4.0.0,JVM17-Pack200
24,c2376685ed5cb56833327cb5f54e5f803a8e8fa9,8da377299d085b4ce1f15dbc0732232ea32e601d,COMPRESS-262,https://issues.apache.org/jira/browse/COMPRESS-262,4.0.0,JVM17-Pack200
25,bc741b19e88749d66b03bf8dc292f3ae0fc74156,aed56110ff582b96aecf7675a9cfe5247ffa3e7d,COMPRESS-264,https://issues.apache.org/jira/browse/COMPRESS-264,4.0.0,JVM17-Pack200
26,8af0b6c133fe7d147833b70e731c99d179dc8db9,557800a53cedad99afc951032a11931f3e39bf13,COMPRESS-277,https://issues.apache.org/jira/browse/COMPRESS-277,4.0.0,JVM17-Pack200
27,383d90399e3e2284bca4836197eb92b126095479,1ea7e01eb6776071eddf60f7783d650ec7d60e74,COMPRESS-278,https://issues.apache.org/jira/browse/COMPRESS-278,4.0.0,JVM17-Pack200
28,1ea7e01eb6776071eddf60f7783d650ec7d60e74,ddb5fd6d8e4d5fa9f7fa659c93fb6eb04f238689,COMPRESS-279,https://issues.apache.org/jira/browse/COMPRESS-279,4.0.0,JVM17-Pack200
29,66338dd9c4bf1e76be830749d9bc93c7be35cb2a,d50feb67569fb5881b8a2ff5996f656c5f207c2e,COMPRESS-306,https://issues.apache.org/jira/browse/COMPRESS-306,4.0.0,JVM17-Pack200
30,0bbe5b59af443da2c3101cb9259e7ad68152dd13,5cf68bdc46c7bcc0fc5eb3cacd1c84514ef552cf,COMPRESS-309,https://issues.apache.org/jira/browse/COMPRESS-309,4.0.0,JVM17-Pack200
