bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,4413c299ea09c57b94af8647eec901554c2f5c50,c6a4f55d1a9b191dbbd958c366091e567191ccab,40,https://github.com/google/gson/issues/40
2,10714ef0427536b679e9677f8417807e4cce017d,fe101c10bc3597d8e715a31d94d2cc0cc54b660f,719,https://github.com/google/gson/pull/719
3,9e5f86d10b3b3ff4ba0dfe7ba0722c9e640fcc20,64107353a37e623ed1f8fecb4422c24212cf6fe1,624,https://github.com/google/gson/issues/624
4,2ab776b5f5075bd98e7eb730cb03772f2b734b45,af68d70cd55826fa7149effd7397d64667ca264c,773,https://github.com/google/gson/pull/773
5,af68d70cd55826fa7149effd7397d64667ca264c,8383f5c7fa34ae68323fe2816ef8c1307b5d0f84,768,https://github.com/google/gson/issues/768
6,67bd3a2cf6f9c9c6e7f615969b1918f68e03932d,dea305503ad8827121e8212248c271f1f2f90048,800,https://github.com/google/gson/pull/800
7,a02f575797d9295bff8fb92d266b0f9724e42098,2b08c88c09d14e0b1a68a982bab0bb18206df76b,604,https://github.com/google/gson/issues/604
8,6f6af8050799bec5321d2c06cd3230daadbb6535,0f66f4fac441f7d7d7bc4afc907454f3fe4c0faa,817,https://github.com/google/gson/issues/817
9,0f66f4fac441f7d7d7bc4afc907454f3fe4c0faa,874e74a3072f7ff0d2533296698ad126321516d1,836,https://github.com/google/gson/pull/836
10,ecda3582a6527d5be2c200fe72b04fe2ae30624f,bb451eac43313ae08b30ac0916718ca00c39656d,831,https://github.com/google/gson/issues/831
11,791236ac79e535146b07a7dd5c85ab168554f5ff,44cad04a639b3a53f4205f93acda37b3f7d10871,964,https://github.com/google/gson/pull/964
12,7719e73a108c450666613c279bedaed724cd9cc9,9e6f2bab20257b6823a5b753739f047d79e9dcbd,1013,https://github.com/google/gson/issues/1013
13,41e48f7aa3a686778e95328693b830856538e9e3,9a2421997e83ec803c88ea370a2d102052699d3b,1053,https://github.com/google/gson/issues/1053
14,5848096f3e1f36c038f522a3d7d6b9e3b553cf8e,a300148003e3a067875b1444e8268b6e0f0e0e02,1074,https://github.com/google/gson/issues/1074
15,0aaef0fd1bb1b9729543dc40168adfb829eb75a4,ada597e69a78b8b99f79f79493cbf51e16045202,1090,https://github.com/google/gson/issues/1090
16,ee691fba43663d1715752a7642f4b4ece1738567,03a72e752ef68269990f984c9fd613cfd59224bc,1128,https://github.com/google/gson/pull/1128
17,f0aa1118e9ef66ed324f9a63cdfb551cb4e9eca5,7a9fd5962dce7f277efa15fcc996606be0733bac,1100,https://github.com/google/gson/pull/1100
18,08bbb226f11a1f7f76835f953e700d905e1fab4d,b1fb9ca9a1bea5440bc6a5b506ccf67236b08243,1107,https://github.com/google/gson/issues/1107
