bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,932131e698e669cd7e0743a6999eab455f9de6b0,fab38abb27f2f92b9340cfc232eb5517434bf138,JXPATH-12,https://issues.apache.org/jira/browse/JXPATH-12
2,5eb29ba7901ab88e8388095a8696c4ae13a2c163,716c03b3b12ec106974898451b149f6eb79c65da,JXPATH-50,https://issues.apache.org/jira/browse/JXPATH-50
3,34e73b6483b08da2d793eb613520e23c3d6afeb1,984778f3c264df5d608eb9697df2a268122ac66f,JXPATH-68,https://issues.apache.org/jira/browse/JXPATH-68
4,2bb50b71c9169033d917213ec753ff5af309965b,9f912437a14392f8d4c98aa811e9134fbf7b5a52,JXPATH-83,https://issues.apache.org/jira/browse/JXPATH-83
5,458f562cdbe13b42ae325ac88a082047fe05ab89,2a01dfaf8d6abbabc7e4cd5cfd05d2e0b4886708,JXPATH-89,https://issues.apache.org/jira/browse/JXPATH-89
6,5e277f495715b7552d8eb9d8493b6450c071a990,9b6406bf37af48e843b02fa8fd53dc673f3cbd1e,JXPATH-94,https://issues.apache.org/jira/browse/JXPATH-94
7,9b6406bf37af48e843b02fa8fd53dc673f3cbd1e,58fac658aba985ba77f8bd0156c6d01bec8d991b,JXPATH-93,https://issues.apache.org/jira/browse/JXPATH-93
8,bb12c5b5ec5ce80c8148749ffef72956c01571a0,1befe1b93eec887971e729b89dd4d900319a06b0,JXPATH-95,https://issues.apache.org/jira/browse/JXPATH-95
9,b546d575e5b626929a3649794f4e47bccc4fd3e3,40689aa2f3e6e601b51f6c590dbaf079325da772,JXPATH-95,https://issues.apache.org/jira/browse/JXPATH-95
10,1860d750670f46e64c276bae92d93f545dfb5bd5,3b3e58d3d35aaa7e8e35c0856611f4bfc3f291c7,JXPATH-93,https://issues.apache.org/jira/browse/JXPATH-93
11,626e5e5994a651085e9d2ccb1ca99c701f88bc68,52d73022820d163104c6419f25ca955f86464f63,JXPATH-97,https://issues.apache.org/jira/browse/JXPATH-97
12,52d73022820d163104c6419f25ca955f86464f63,d52074012200f55cbd3635591b914e2c1b19674f,JXPATH-97,https://issues.apache.org/jira/browse/JXPATH-97
13,d52074012200f55cbd3635591b914e2c1b19674f,15a67164cbefb9f9ae03b334888947d5fe5dccb4,JXPATH-97,https://issues.apache.org/jira/browse/JXPATH-97
14,2c5243995eceb0de0a71271ce2ea7c02c38649fb,8a04f62fa755ec165152a03a516c186d20e8cd46,JXPATH-102,https://issues.apache.org/jira/browse/JXPATH-102
15,33cabe52b5ab65bcbb67a2b725b3d97d09749f18,497ed5f8b0bb95ad7a97ea5f0cc517a0420e422f,JXPATH-100,https://issues.apache.org/jira/browse/JXPATH-100
16,e2c9d22b8dc59c707e32ef7fb05a3282792ce92b,6cf7092809515b6add5f0e83fd837b8e013c5256,JXPATH-114,https://issues.apache.org/jira/browse/JXPATH-114
17,1a292f1cd08ec2272c3565e0197ec11772db28c0,a1bc20f2af31730caa12faa116e14a964354f28d,JXPATH-109,https://issues.apache.org/jira/browse/JXPATH-109
18,a1bc20f2af31730caa12faa116e14a964354f28d,4882e4423ae7bfb80c65da4aa547ef5aed16a007,JXPATH-115,https://issues.apache.org/jira/browse/JXPATH-115
19,b67345afa4817cc8bc7f14137ed1ef90ab299062,7b2847e882a9e4216dcf0f35d27101e363611532,JXPATH-125,https://issues.apache.org/jira/browse/JXPATH-125
20,a48b10d2a39eab2eb5a6a7309edc98803ceffe81,820a69d81b3b5d33f4a2b2cd9f153450f7535452,JXPATH-149,https://issues.apache.org/jira/browse/JXPATH-149
21,820a69d81b3b5d33f4a2b2cd9f153450f7535452,99a20785daf2bfc018552e2eabed1067bf225013,JXPATH-151,https://issues.apache.org/jira/browse/JXPATH-151
22,5c538c4e51c6c5ebb43182d0c6e99ee8f7b3590c,afa2deca94436837e785b89362cfaaf84a8ca1bd,JXPATH-154,https://issues.apache.org/jira/browse/JXPATH-154
