bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,d7fd760eb8c5ba8dc7bc30fd565575f2547e0c86,86545dab3ed57872ad98b23e46924d67ddad03fc,MATH-996,https://issues.apache.org/jira/browse/MATH-996
2,6d66a863b5c0049926330ef217accba4e022a1db,f1467e45ab538789090f968f549f88bd0b8c26c7,MATH-1021,https://issues.apache.org/jira/browse/MATH-1021
3,7cdc540aa6dd90cc4479ce44d033f492637cfcf7,91d280b7300b0f601cd76a880c26784a822f96b8,MATH-1005,https://issues.apache.org/jira/browse/MATH-1005
4,0ee817712b9e8330fdfd6985752aa8f1b25ba9d9,d270055e874148a2742604be36ab977eec030fba,MATH-988,https://issues.apache.org/jira/browse/MATH-988
5,8c2199df0f613c63bd362303c953cee66712d56c,724795b5513651e1e34fae3904d1b58229ce9c17,MATH-934,https://issues.apache.org/jira/browse/MATH-934
6,4e4e8fad43b1b105395d56d9bae98297d3fefdb1,f83bbc1d68bd457dfccd370afb248126ce031eb6,MATH-949,https://issues.apache.org/jira/browse/MATH-949
7,d18a6b851035818e38637a7b2f60e6f5c6367480,424cbd201ca5969181d68cff99d8b9b77a41cefe,MATH-950,https://issues.apache.org/jira/browse/MATH-950
8,f00bd95151792341002bf4e987f403f0124bb323,0d057fc6dc9fac9e16c01e3647c2201281310a6a,MATH-942,https://issues.apache.org/jira/browse/MATH-942
9,43a6f15a1af977d6bf950dca17ab248e72ad8e95,73605560b9f0205ac641ec602145756305a41f79,MATH-938,https://issues.apache.org/jira/browse/MATH-938
10,2edd83f5f5009f3ceba55f45d17b351effe65414,48dde3784e22e6cf886521e7ae17a327a461688e,MATH-935,https://issues.apache.org/jira/browse/MATH-935
11,fea4dd914bebc7eb4f2b4ec8086f4241a9bd28e6,cedf0d27f9e9341a9e9fa8a192735a0c2e11be40,MATH-929,https://issues.apache.org/jira/browse/MATH-929
12,42673df5b72ca93fa4dbac6fdb0dec19e0ed6992,185e3033ef43527a729c9dda5d57ed0537921a27,MATH-927,https://issues.apache.org/jira/browse/MATH-927
13,b07ecae3d60c4f0233f1a1d97eb35d4a678f39aa,2836a6f9efcd30effe2f1125d47c38f62f96ed09,MATH-924,https://issues.apache.org/jira/browse/MATH-924
14,ace42058d67a52fb362543c5cf5aca64cf8de3e8,b07ecae3d60c4f0233f1a1d97eb35d4a678f39aa,MATH-924,https://issues.apache.org/jira/browse/MATH-924
15,4673043763616457113c70219e1950818ced847b,6844aba987aaf32c85a4eb3fba3f6ccf9d7c8db6,MATH-904,https://issues.apache.org/jira/browse/MATH-904
16,9e75d6faa92de5d0046f8b5957f9f0bee57e8e3f,46ed0af1c2d274d273b1b3ac89e61e62ba98cefa,MATH-905,https://issues.apache.org/jira/browse/MATH-905
17,0912bac5201d98af64a832766146797a9d75bb6f,5b9302d5be3c35f6336ebb6b7f6cbfe732761d72,MATH-778,https://issues.apache.org/jira/browse/MATH-778
