bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,837fd054a0da2c8706732dcd4bc880a64b957c78,4e9d7607825c3c668fd43f19507bfead566c528c,188,https://github.com/mockito/mockito/issues/188
2,d30450fa1172d79cc051b2fe8064744c2ac7a003,80452c7a42777513c35fd30c4e12bcd7ee438fb9,197,https://github.com/mockito/mockito/issues/197
3,4e9d7607825c3c668fd43f19507bfead566c528c,3eec7451d6c83c280743c39b39c77a179abb30f9,188,https://github.com/mockito/mockito/issues/188
4,c25cb6bff7eb4774efda345e8bf9eaad4c66a652,42b391d4209024292b6101048389570e4ec36b2a,187,https://github.com/mockito/mockito/issues/187
5,fff76563d9e0ed412dc828c53cfdc7d142997a31,42a24dde02923185db3f79ae57e7819f7d70af55,152,https://github.com/mockito/mockito/issues/152
6,a7ba606944563adcdc631a2c04463a8124d26b02,dc205824dbc289acbcde919e430176ad72da847f,134,https://github.com/mockito/mockito/issues/134
7,3c8892b8a077598ecf988115214e5e01c310b08b,0aaa36ce6924ca87f88e3723771413b42b80dc5a,128,https://github.com/mockito/mockito/issues/128
8,9fb7d8b62814f959ceca6096d785b96c11bdfd0a,5a03bf5d0c9aedac9cfbf074833167c1eca6439f,114,https://github.com/mockito/mockito/issues/114
9,f45c2dc0c21f365218fa093106e45dbb0b54746a,31f908029b8cd9b1f32bed3a41651b30ebb47b9f,122,https://github.com/mockito/mockito/issues/122
10,b00a6d252f87c886e5f8830bbdb6c1af2bd0ee9c,1beeae39ac9f79d6a0db285dec311b78025ac062,99,https://github.com/mockito/mockito/issues/99
11,57be784ef15d4d4d685e59d7e855e01de81a77a5,1802cf79c482f2df29abb3d6735bcf0b16cedb7d,87,https://github.com/mockito/mockito/issues/87
12,a154b66c1a87eb4ff26d91781414dde042bb9a9f,7a647a702c8af81ccf5d37b09c11529c6c0cb1b7,188,https://github.com/mockito/mockito/issues/188
13,88100667b90c4621178fd870fa1ca43060512fc6,2037361bea014c9ac87393eb96a95374dff46182,138,https://github.com/mockito/mockito/issues/138
14,c478a8809b640713e8ffb6da2f554dda3a3674b0,9b2cf8072ece7c7629eff6037853b3e14ab5f524,138,https://github.com/mockito/mockito/issues/138
15,77c6703f60d87b88b0e5b175b8fb0462483a8f69,81a380951402d2a158af115ed616ab36e94793b8,211,https://github.com/mockito/mockito/issues/211
16,188cbae7ae307e7c81c4ad321a4837dd93157b67,620f8faed0ad132961aae3a8671120e0929ce828,151,https://github.com/mockito/mockito/issues/151
17,b6790ee34d8d858a89b80a9ae40f19d87ce1dab8,77cb2037314dd024eb53ffe2e9e06304088a2d53,152,https://github.com/mockito/mockito/issues/152
18,6237bd6e841dcae7b0e4d8cc3d0b7e14bf6694cc,8ceb04ad7317d8db24476b3b5f56ec9f658bc43a,210,https://github.com/mockito/mockito/issues/210
19,03028f0095d527ff9bd84bc929fc4931f17abf13,110ffa80070bf54ab8efabdaaa27b193a93d6128,205,https://github.com/mockito/mockito/issues/205
