# Note: Faults 1-17 were used in the paper Challenges in Using Search-Based Test Generation to Identify Real Faults in Mockito. Faults 18-38 added later.
ID,Faulty Commit,Fixed Commit,Issue URL,Problem,Relevant Tests (pass on fixed version)
1,4e9d7607825c3c668fd43f19507bfead566c528c,837fd054a0da2c8706732dcd4bc880a64b957c78,https://github.com/mockito/mockito/issues/188,ArgumentCaptor no longer working for varargs,"org.mockito.internal.invocation.InvocationMatcherTest::should_capture_arguments_when_args_count_does_NOT_match, org.mockito.internal.util.reflection.FieldInitializerTest::can_instantiate_class_with_parameterized_constructor, org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_report_failure_if_constructor_throws_exception, org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_fail_if_an_argument_instance_type_do_not_match_wanted_type, org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_instantiate_type_with_vararg_constructor, org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest::should_instantiate_type_if_resolver_provide_matching_types, org.mockitousage.basicapi.ResetTest::shouldRemoveAllStubbing,  org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyWithNullVarArgArray, org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyWithAnyObject, org.mockitousage.basicapi.UsingVarargsTest::shouldStubBooleanVarargs, org.mockitousage.basicapi.UsingVarargsTest::shouldMatchEasilyEmptyVararg, org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyBooleanVarargs, org.mockitousage.basicapi.UsingVarargsTest::shouldStubCorrectlyWhenMixedVarargsUsed, org.mockitousage.basicapi.UsingVarargsTest::shouldStubStringVarargs, org.mockitousage.basicapi.UsingVarargsTest::shouldStubCorrectlyWhenDoubleStringAndMixedVarargsUsed, org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyStringVarargs, org.mockitousage.basicapi.UsingVarargsTest::shouldVerifyObjectVarargs, org.mockitousage.bugs.VarargsErrorWhenCallingRealMethodTest::shouldNotThrowAnyException, org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyWithAnyVarargs, org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyNumberOfInvocationsUsingAnyVarargAndEqualArgument, org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest::shouldStubUsingAnyVarargs, org.mockitousage.matchers.VerificationAndStubbingUsingMatchersTest::shouldVerifyUsingMatchers, org.mockitousage.stubbing.BasicStubbingTest::test_stub_only_not_verifiable, org.mockitousage.stubbing.BasicStubbingTest::should_evaluate_latest_stubbing_first, org.mockitousage.stubbing.DeprecatedStubbingTest::shouldEvaluateLatestStubbingFirst, org.mockitousage.verification.VerificationInOrderMixedWithOrdiraryVerificationTest::shouldUseEqualsToVerifyMethodVarargs"
2,d30450fa1172d79cc051b2fe8064744c2ac7a003,80452c7a42777513c35fd30c4e12bcd7ee438fb9,https://github.com/mockito/mockito/issues/197,Mockito.after() method accepts negative timeperiods and subsequent verifications always pass,"org.mockito.internal.util.TimerTest::should_throw_friendly_reminder_exception_when_duration_is_negative,  org.mockito.verification.NegativeDurationTest::should_throw_exception_when_duration_is_negative_for_timeout_method,  org.mockito.verification.NegativeDurationTest::should_throw_exception_when_duration_is_negative_for_after_method"
3,4e9d7607825c3c668fd43f19507bfead566c528c,3eec7451d6c83c280743c39b39c77a179abb30f9,https://github.com/mockito/mockito/issues/188,ArgumentCaptor no longer working for varargs,"org.concurrentmockito.ThreadsRunAllTestsHalfManualTest::shouldRunInMultipleThreads, org.mockito.internal.invocation.InvocationMatcherTest::should_capture_varargs_as_vararg, org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest::shouldVerifyCorrectlyNumberOfInvocationsWithVarargs, org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest::shouldMatchAnyVararg, org.mockitousage.matchers.CapturingArgumentsTest::should_capture_all_vararg, org.mockitousage.matchers.CapturingArgumentsTest::captures_correctly_when_captor_used_multiple_times, org.mockitousage.matchers.CapturingArgumentsTest::should_capture_vararg, org.mockitousage.matchers.CapturingArgumentsTest::captures_correctly_when_captor_used_on_pure_vararg_method, org.mockitousage.matchers.CapturingArgumentsTest::should_capture_byte_vararg_by_creating_captor_with_primitive_wrapper, org.mockitousage.matchers.CapturingArgumentsTest::should_capture_byte_vararg_by_creating_captor_with_primitive"
4,c25cb6bff7eb4774efda345e8bf9eaad4c66a652,42b391d4209024292b6101048389570e4ec36b2a,https://github.com/mockito/mockito/issues/187,java.lang.ClassCastException: java.lang.Class cannot be cast to java.lang.String,"org.mockito.exceptions.ReporterTest::can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_no_more_interaction_wanted_in_order, org.mockito.exceptions.ReporterTest::can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_injection_failure, org.mockito.exceptions.ReporterTest::can_use_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_no_more_interaction_wanted, org.mockitousage.bugs.ClassCastExOnVerifyZeroInteractionsTest::should_not_throw_a_ClassCastException"
5,fff76563d9e0ed412dc828c53cfdc7d142997a31,42a24dde02923185db3f79ae57e7819f7d70af55,https://github.com/mockito/mockito/issues/152,"If JUnit is not on the classpath and mockito is version 1.10.x (as of now 1.10.1 up to 1.10.19) and the code is using the timeout verification which is not supposed to be related to JUnit, then the JVM may fail with a VerifyError or a NoClassDefFoundError.",org.mockitointegration.NoJUnitDependenciesTest::pure_mockito_should_not_depend_JUnit
6,a7ba606944563adcdc631a2c04463a8124d26b02,dc205824dbc289acbcde919e430176ad72da847f,https://github.com/mockito/mockito/issues/134,"Argument matcher anyXxx() (i.e. anyString(), anyList()) should not match nulls","org.mockitousage.matchers.AnyXMatchersAcceptNullsTest::shouldNotAcceptNullInAllAnyPrimitiveWrapperMatchers, org.mockitousage.matchers.AnyXMatchersAcceptNullsTest::shouldNotAcceptNullInAnyXMatchers, org.mockitousage.matchers.MatchersTest::anyStringMatcher, org.mockitousage.matchers.NewMatchersTest::shouldAllowAnyCollection, org.mockitousage.matchers.NewMatchersTest::shouldAllowAnyList, org.mockitousage.matchers.NewMatchersTest::shouldAllowAnyMap, org.mockitousage.matchers.NewMatchersTest::shouldAllowAnySet"
7,3c8892b8a077598ecf988115214e5e01c310b08b,0aaa36ce6924ca87f88e3723771413b42b80dc5a,https://github.com/mockito/mockito/issues/128,Deep stubbing will throw an Exception if multiple generics occur in the call chain.,org.mockitousage.bugs.deepstubs.DeepStubFailingWhenGenricNestedAsRawTypeTest::discoverDeepMockingOfGenerics
8,9fb7d8b62814f959ceca6096d785b96c11bdfd0a,5a03bf5d0c9aedac9cfbf074833167c1eca6439f,https://github.com/mockito/mockito/issues/114,StackOverflowError with interface where generic type has itself as upper bound,org.mockito.internal.util.reflection.GenericMetadataSupportTest::typeVariable_of_self_type
9,f45c2dc0c21f365218fa093106e45dbb0b54746a,31f908029b8cd9b1f32bed3a41651b30ebb47b9f,https://github.com/mockito/mockito/issues/122,There's a problem with spying on abstract classes when the real implementation calls out to the abstract method.,"org.mockitousage.constructor.CreatingMocksWithConstructorTest::abstractMethodStubbed, org.mockitousage.constructor.CreatingMocksWithConstructorTest::testCallsRealInterfaceMethod, org.mockitousage.constructor.CreatingMocksWithConstructorTest::abstractMethodReturnsDefault"
10,b00a6d252f87c886e5f8830bbdb6c1af2bd0ee9c,1beeae39ac9f79d6a0db285dec311b78025ac062,https://github.com/mockito/mockito/issues/99,RETURNS_DEEP_STUBS automatically tries to create serializable mocks,org.mockitousage.bugs.DeepStubsWronglyReportsSerializationProblemsTest::should_not_raise_a_mockito_exception_about_serialization_when_accessing_deep_stub
